Sentence,ProteinName,UniProtId,PhenotypeName,HPOId,type,Label
PROT promotes changes in arterial metabolism which are similar to those an PHENO.,Insulin,P01308,atherosclerosis,HP:0002621,abs,Good-CoM
"A study was performed on 290 men to compare the level of serum prostate-specific antigen (PROT) in controls, patients with benign prostatic hyperplasia (BPH) and patients with prostatic PHENO.",PSA,Q9Y617,cancer,HP:0002664,abs,Bad-CoM
"In Experiment 2, ovariectomized, estrogen-primed females shown to be responsive to PROT during a first screening test were tested for PHENO after receiving either DHT or DHT in combination with the androgen receptor antagonist, Flutamide (7.5 mg/injection x 3).",LHRH,P01148,lordosis,HP:0003307,abs,Bad-CoM
"Thus, we measured the plasma concentrations of atrial natriuretic peptide (PROT) in the patients with muscular dystrophy of various types, and studied a relationship between plasma ANP concentration and heart failure, expecting that it could be an index of PHENO in DMD patients.",ANP,P01160,heart failure,HP:0001635,abs,Bad-CoM
[PROT and blood pressure in patients with PHENO treated by repeated hemodialysis].,Parathyroid hormone,P01270,chronic renal failure,HP:0003774,abs,Bad-CoM
"In pathological states associated with extracellular fluid volume (ECFV) expansion, PROT concentration were significantly higher than in the controls (liver cirrhosis 8.6 +/- 0.9; congestive heart failure 33.1 +/- 4.8; PHENO before haemodialysis 72.2 +/- 6.4 pmol/l).",ANP,P01160,chronic renal failure,HP:0003774,abs,Good-CoM
We have investigated the PROT activity of PHENO-associated macrophages (TAM) from 4 transplanted murine tumours in syngeneic hosts; peritoneal macrophages (native and thioglycolate-elicited) from both tumour-bearing and control animals were studied as reference cells.,PA,Q9UL45,tumour,HP:0002664,abs,Bad-CoM
The effects of chronic subcutaneous infusion of luteinising hormone-releasing hormone (PROT) have been studied in a group of 17 male patients with PHENO (HH).,LHRH,P01148,hypogonadotrophic hypogonadism,HP:0000044,abs,Bad-CoM
"Plasminogen activator (PROT) activity was analyzed in normal and transformed 10T1/2 mouse fibroblasts treated with the PHENO promoter 12-O-tetradecanoylphorbol-13-acetate (TPA) and the protease inhibitors antipain, leupeptin, and soybean trypsin inhibitor (SBTI).",PA,Q9UL45,tumor,HP:0002664,abs,Bad-CoM
Pedigree analyses of five families in which a form of spinocerebellar PHENO (SCA1) is present have been used to obtain additional information on the location of PROT on chromosome 6.,SCA1,P54253,ataxia,HP:0001251,abs,Good-CoM
The detection of impalpable PHENO by PROT or ultrasound decreased the proportion of advanced tumor detected without increasing significantly the detection of unimportant disease.,PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
Molecular basis of leukocyte adhesion molecules in early-onset PHENO patients with decreased CD11/PROT expression on leukocytes.,CD18,P05107,periodontitis,HP:0000704,abs,Good-CoM
"However, the rapid disappearance of PROT from the PHENO area is one of the reasons for its limited clinical application.",BRM,P51531,tumour,HP:0002664,abs,Good-CoM
"Multivariate analysis, however, failed to confirm an independent prognostic value for PROT in breast PHENO patients.",Cathepsin D,P07339,cancer,HP:0002664,abs,Good-CoM
"We studied the relation between testosterone (T) and PROT in male mice, which were genetically selected for their differences in PHENO level.",VP,P01185,aggression,HP:0000718,abs,Good-CoM
"On the other hand, many wt p53 PHENO lines (4/5, or 80%) showed normal induction of PROT/WAF1, but little or no induction of GADD45.",CIP1,P38936,melanoma,HP:0002861,abs,Bad-CoM
"A novel X-linked gene, PROT, shows mutations in families with PHENO (DFN-1), dystonia, mental deficiency and blindness.",DDP,O60220,deafness,HP:0000365,abs,Good-CoM
BCR-PROT is a chimeric oncoprotein that exhibits deregulated tyrosine kinase activity and is implicated in the pathogenesis of Philadelphia chromosome (ph1)-positive PHENO.,ABL,P00519,leukemia,HP:0001909,abs,Good-CoM
PROT-induced vasopressor responses in essential PHENO.,Endothelin-1,P05305,hypertension,HP:0000822,abs,Bad-CoM
"The ability of RAS blockade using irbesartan, an PROT angiotensin II receptor antagonist, to slow the progression in PHENO has been compared with that of the calcium channel blocker amlodipine and placebo in a pilot study.",AT1,O00400,renal failure,HP:0000083,abs,Bad-CoM
The aim of the present study was to assess whether cGMP release to PROT stimulation can be a biochemical marker of subsequent successful electrical cardioversion of lone PHENO to sinus rhythm.,ANP,P01160,atrial fibrillation,HP:0005110,abs,Bad-CoM
"PSA/PSM RT-PCR was a better predictor of PHENO extracapsular extension than initial serum PROT, clinical stage, and biopsy Gleason score.",PSA,Q9Y617,tumor,HP:0002664,abs,Good-CoM
No p16INK4A/CDKN2/PROT mutations independent of p53 status in PHENO.,MTS1,P42771,soft tissue sarcomas,HP:0030448,abs,Good-CoM
The ratio of free to total PROT may increase the specificity of single serum PSA evaluations without decreasing its sensitivity for the diagnosis of prostate PHENO.,PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
"In conclusion, tau(PROT) might be promising as a prognostic factor after castration in patient with advanced prostatic PHENO, although tau(PSA) was not a direct substitute for tau(PV).",PSA,Q9Y617,cancer,HP:0002664,abs,Good-CoM
"Frequent allelic losses on chromosome 9 are seen in a wide variety of human tumors; moreover, two genes (P16 and PROT) whose mutant alleles confer predispositions to some inherited PHENO syndromes have been identified on this chromosome.",PTC,P07949,cancer,HP:0002664,abs,Good-CoM
"In addition, PROT was detected in liver PHENO extracts, which warranted its evaluation in liver cytolysis and hepatocellular carcinoma.",PSA,Q9Y617,tumor,HP:0002664,abs,Bad-CoM
PROT increases renal sodium reabsorption which may contribute to PHENO.,Insulin,P01308,hypertension,HP:0000822,abs,Good-CoM
"However, splenic MZ cells, nodal MZ lymphoma, and splenic MZ PHENO showed a distinct expression of IgM and bcl-2, with high p27 (PROT) nuclear expression and undetectable or low levels of cyclin A, B, E, or D, or p21(WAF1) expression.",KIP1,P46527,lymphoma,HP:0002665,abs,Good-CoM
"PROT (PTHrP) was isolated from tumours and is thought to represent the main factor responsible for humoral PHENO, which accompanies neoplastic diseases.",Parathyroid hormone-related protein,P12272,hypercalcaemia,HP:0003072,abs,Good-CoM
[Treatment with PROT analogues in girls with PHENO does not improve final height.,LHRH,P01148,precocious puberty,HP:0000826,abs,Good-CoM
"It is proposed that overexpressed HER2 in combination with PROT causes high activity of cell-signaling networks, thereby resulting in PHENO cell proliferation.",HER3,P21860,tumor,HP:0002664,abs,Good-CoM
"With few exceptions, children with PROT mutations have isolated PHENO, with severe developmental delay and infantile spasms.",LIS1,P43034,lissencephaly,HP:0001339,abs,Good-CoM
"There is a growing clinical demand for analysis of the PROT/c-erbB-2 (HER2) status of PHENO specimens because it provides valuable prognostic, predictive and therapeutic information.",HER2,P04626,breast cancer,HP:0003002,abs,Good-CoM
